id,startstop,ligne,endstop,dir,ridedist
450,1656,L9,18,1,5749
451,1656,L9,65,1,4825
452,29,L1,1,2,2874
453,1656,L9,58,1,974
454,58,L10,1,2,7049
455,1656,L9,59,1,1324
456,214,L14,1,2,6724
457,29,L16,1,2,3599
458,1656,L9,1691,1,10399
459,352,L2,1,2,4125
460,464,L5,1,2,6975
461,1672,L66,1,2,7025
462,18,TX1,506,1,1925
463,58,TX8,506,2,6275
464,1656,L9,366,1,14524
465,366,TX10,506,2,5400
466,111,L12,16,1,3975
467,321,TX4,863,1,4899
468,111,L13,16,2,5325
469,111,L13,177,2,1550
470,164,TX13,863,2,6000
471,111,L18,321,2,3699
472,312,TX4,863,1,4749
473,111,L18,177,2,1550
474,111,L36,321,2,2900
475,111,L36,162,2,950
476,111,L7,364,2,8850
477,862,L29,863,1,500
478,862,L39,863,1,500
479,111,L7,1691,2,6025
480,1691,TX4,863,1,3250
481,111,L7,365,2,9450
482,365,TX4,863,2,149
483,364,TX12,863,1,450
484,365,TX12,863,2,149
485,365,TX13,863,1,150
486,111,L7,177,2,1550
487,1268,L38,16,2,4025
488,6182,BRT3,6452,2,2349
489,6182,BRT3,41,2,924
490,111,TX2,312,2,2749
491,111,TX2,164,2,1024
492,63,L10,1,2,4149
493,63,L14,1,2,4174
494,63,L5,1,2,4150
495,63,L66,1,2,4175
496,36,L10,37,1,800
497,37,TX8,506,2,4250
498,36,L13,37,2,800
499,36,L14,37,1,800
500,36,L22,37,1,799
501,36,L27,37,1,799
502,36,L30,37,1,799
503,36,L43,37,1,775
504,36,L5,37,1,800
505,36,L66,37,1,800
506,36,L9,398,2,3400
507,983,L3,1,2,7699
508,36,L9,37,2,775
509,63,L13,65,1,950
510,29,L3,1,2,4249
511,63,L22,65,2,925
512,180,TX1,506,1,2200
513,63,L27,65,2,949
514,63,L30,990,2,907
515,63,L30,951,2,1937
516,985,L3,1,2,6549
517,63,L43,65,2,924
518,63,L9,364,1,9349
519,63,L9,65,1,949
520,63,L9,1691,1,6524
521,63,L9,366,1,10649
522,83,L20,380,2,1875
523,323,L18,88,2,4499
524,81,L33,506,2,4275
525,4232,BRT4,46,2,4624
526,88,TX6,506,2,4250
527,323,L18,324,2,1150
528,324,TX8,506,2,1649
529,310,L18,65,1,899
530,1,BRT1,2,1,1050
