id,startstop,ligne,endstop,dir,ridedist
414,10052,L6,10029,2,5950
415,10003,L16,10229,1,6775
416,10003,L3,10465,1,7600
417,10003,L1,10005,1,1499
418,10005,L23,10465,1,3925
419,10003,L10,10018,1,1100
420,10003,L11,10018,1,1124
421,10003,L12,10018,2,1099
422,10003,L14,10018,1,1100
423,10003,L15,10018,1,1099
424,10003,L17,10018,1,1099
425,10003,L4,10018,1,1100
426,10003,L5,10744,1,10675
427,10973,L3,10504,2,5043
428,10003,L5,10018,1,1100
429,10003,L6,10018,1,1100
430,10003,L66,10018,1,1100
431,10339,TX1,10180,2,1450
432,125621,L11,10177,2,3075
433,10177,L7,11696,2,9075
434,125621,L11,10320,2,4600
435,10313,L9,10367,1,7849
436,125621,L11,10085,2,9000
437,10084,L20,10389,2,6900
438,125621,L11,10066,2,6300
439,10066,L6,10389,2,8024
440,44,BRT2,36,1,7825
441,10312,TX4,11696,1,6049
442,125621,L11,10088,2,13025
443,10088,TX14,11696,1,7799
444,125621,L11,125625,2,1575
445,125625,TX13,11696,2,6950
446,125621,L11,10032,2,7700
447,10032,TX10,11696,1,5449
448,11180,L36,10111,2,1925
449,10111,L7,11696,2,10625
450,11180,L36,10320,2,4200
451,11180,L36,10619,2,5399
452,11180,L36,10162,2,2875
453,125611,TX13,11696,2,7200
454,11180,L38,11268,2,1525
455,10110,L7,11696,2,11000
456,11180,L38,10017,2,5950
457,10311,L9,10367,1,8649
458,11180,L38,10018,2,6425
459,10017,TX4,11696,1,6449
460,10326,L21,10396,1,6724
461,10035,L22,10408,1,3924
462,10035,L27,10408,1,3924
463,10035,L43,10408,1,3925
464,10035,L5,10408,1,3925
465,21,BRT1,25,1,4125
466,10307,L18,10310,1,7025
467,10310,TX5,10408,1,3800
468,10307,L18,10082,1,4625
469,10082,TX8,10408,1,4550
470,10307,L20,10380,2,7350
471,10001,L5,10408,1,7375
472,10307,L20,10082,2,4600
473,10135,L12,10018,2,9300
474,10180,L22,10408,1,5274
475,10180,L27,10408,1,5274
476,10018,L43,10408,1,5600
477,10002,L5,10408,1,7125
478,44,BRT1,25,1,5425
479,10135,L12,10033,2,8725
480,10066,TX5,10408,1,5200
481,10135,L12,10082,2,4375
482,11070,L33,10506,2,6550
483,10376,TX8,10408,1,7050
484,11703,L9,11651,2,17674
485,10369,L6,11651,1,13874
486,10369,L20,10376,1,4549
487,10001,L10,10046,1,8850
488,10369,L7,10163,1,10049
489,10178,L13,10045,2,10024
490,10740,L27,10741,1,1300
491,10052,L9,11694,1,13774
492,10740,L5,10741,1,1300
493,10770,L27,10059,2,2625
494,10059,L9,11694,1,10450
495,10770,L27,10180,2,7375
496,10180,TX4,11678,1,3199
497,10180,TX7,11678,1,3299
498,10770,L5,10059,2,2625
499,10770,L5,10001,2,9325
500,10001,L2,10347,1,3550
501,10770,L5,10066,2,7050
502,10018,TX4,11678,1,3199
503,10018,TX7,11678,1,3299
504,10459,L22,10059,2,2275
505,10459,L22,10180,2,7025
506,10459,L43,10059,2,2300
507,10459,L43,10018,2,6700
508,10158,L13,10163,1,11650
509,10317,L7,11694,2,5325
510,10158,L13,10058,1,2725
511,10058,L9,11694,1,10800
512,10158,L13,10018,1,7500
513,10158,L13,10164,1,11975
514,125611,TX13,11678,2,3950
515,10183,L13,10188,2,1174
516,51,BRT1,48,2,2049
517,51,BRT1,65,2,6475
518,10374,L20,10376,1,925
519,10001,L3,10466,1,8750
520,10001,L16,10229,1,7450
521,10374,L25,10506,2,1149
522,10374,L6,10018,1,3349
523,10180,L23,10466,1,5475
524,10374,L6,10376,1,925
525,10374,251,10506,2,1174
526,2322,BRT2,65,2,3800
527,2322,BRT2,66,2,1900
528,10382,TX6,10001,2,1100
529,10382,TX10,10001,2,1200
530,11666,L66,10059,2,3975
531,10059,L9,11695,1,10849
532,11666,L66,10066,2,8425
533,10018,TX4,11695,1,3699
534,10018,TX7,11695,1,3799
535,10209,L14,10064,2,4850
536,10005,L1,10009,1,1799
537,10209,L14,10066,2,6275
538,10018,L1,10025,2,3800
539,10209,L66,10064,2,5025
540,10209,L66,10066,2,6450
541,10209,TX5,10029,2,5099
542,10209,TX5,10018,2,6199
543,10209,TX8,10002,2,7699
544,10002,L1,10009,1,3724
547,10043,L21,10379,2,6500
549,10043,L21,10307,2,8425
550,10043,L21,10078,2,9625
551,10043,L21,10077,2,9325
552,10077,TX14,10381,1,4199
553,10077,TX6,10381,2,4700
554,10056,L10,10001,2,7799
557,10056,L10,10064,2,4100
563,10056,L10,10066,2,5549
564,10056,L10,10032,2,6949
567,10056,L13,10064,1,4100
568,10056,L13,10018,1,5500
569,10056,L21,10398,1,1100
570,10407,L27,10741,1,3150
571,10052,L6,10381,2,9974
572,10407,L5,10741,1,3174
573,10358,L2,10361,2,1100
574,10003,L15,10216,1,4224
575,10358,L2,10032,2,1725
576,10002,L1,10011,1,4424
