bus,direction,stop_index,stop_id
L28,1,17,10785
L28,1,18,10786
L28,1,19,10787
L28,1,20,10788
L28,1,21,10789
L28,1,22,10790
L28,1,23,10791
L28,1,24,10792
L28,1,25,10793
L28,1,26,10794
L28,1,27,10795
L28,1,28,10796
L28,1,29,10797
L28,1,30,10798
L28,1,31,10799
L28,1,32,10800
L28,1,33,10801
L28,1,34,10802
L28,1,35,10803
L28,1,36,10804
L28,1,37,10805
L28,1,38,10806
L28,1,39,10807
L28,1,40,10808
L28,1,41,10809
L28,1,42,10810
L28,1,43,10811
L28,1,44,10812
L28,1,45,10813
L28,1,46,10814
L28,1,47,10815
L28,2,0,10816
L28,2,1,10817
L28,2,2,10818
L28,2,3,10819
L28,2,4,10820
L28,2,5,10821
L28,2,6,10822
L28,2,7,10823
L28,2,8,10824
L28,2,9,10825
L28,2,10,10826
L28,2,11,10827
L28,2,12,10828
L28,2,13,10829
L28,2,14,10830
L28,2,15,10831
L28,2,16,10832
L28,2,17,10833
L28,2,18,10834
L28,2,19,10835
L28,2,20,10836
L28,2,21,10837
L28,2,22,10838
L28,2,23,10839
L28,2,24,10840
L28,2,25,10841
L28,2,26,10842
L28,2,27,10843
L28,2,28,10844
L28,2,29,10845
L28,2,30,10846
L28,2,31,10847
L28,2,32,10848
L28,2,33,10849
L28,2,34,10850
L28,2,35,10851
L28,2,36,10852
L28,2,37,10853
L28,2,38,10854
L28,2,39,10855
L28,2,40,10856
L28,2,41,10289
L28,2,42,10857
L28,2,43,10858
L28,2,44,10859
L28,2,45,10860
L28,2,46,10861
L28,2,47,10771
L29,1,0,10862
L29,1,1,10863
L29,1,2,10864
L29,1,3,10865
L29,1,4,10866
L29,1,5,10867
L29,1,6,10868
L29,1,7,10869
L29,1,8,10870
L29,1,9,10871
L29,1,10,10872
L29,1,11,10873
L29,1,12,10874
L29,1,13,10875
L29,1,14,10876
L29,1,15,10877
L29,1,16,10878
L29,1,17,10879
L29,1,18,10880
L29,1,19,10881
L29,1,20,10882
L29,1,21,10883
L29,1,22,10884
L29,1,23,10885
L29,1,24,10886
L29,1,25,10887
L29,1,26,10888
L29,1,27,10889
L29,1,28,10890
L29,1,29,10891
L29,1,30,10892
L29,1,31,10893
L29,1,32,10894
L29,1,33,10895
L29,1,34,10896
L29,1,35,10897
L29,1,36,10898
L29,1,37,10899
L29,1,38,10900
L29,1,39,10901
L29,1,40,10902
